嗚呼	ああ
相	あい
相変わらず	あいかわらず
愛想	あいそ
相対	あいたい
間柄	あいだがら
愛憎	あいにく
合間	あいま
曖昧	あいまい
敢えて	あえて
仰ぐ	あおぐ
垢	あか
亜科	あか
銅	あかがね
証	あかし
赤字	あかじ
明かす	あかす
赤ちゃん	あかちゃん
明白	あからさま
赤らむ	あからむ
明るい	あかるい
上がり	あがり
上がる	あがる
商人	あきうど
空間	あきま
諦め	あきらめ
呆れる	あきれる
悪	あく
灰	あく
	あくどい
悪日	あくび
明くる	あくる
憧れ	あこがれ
顎	あご
麻	あさ
明後日	あさって
朝寝坊	あさねぼう
浅ましい	あさましい
字	あざ
欺く	あざむく
鮮やか	あざやか
あざ笑う	あざわらう
味わい	あじわい
東	あずま
焦る	あせる
彼処	あそこ
値	あたい
値する	あたいする
私	あたし
当たり	あたり
当たり前	あたりまえ
他人	あだびと
彼方此方	あちこち
彼方	あちら
彼方此方	あちらこちら
悪化	あっか
呆気ない	あっけない
悪口	あっこう
	あっさり
圧迫	あっぱく
扱い	あつかい
集まる	あつまる
誂える	あつらえる
圧力	あつりょく
当て	あて
宛	あて
当て字	あてじ
当てはまる	あてはまる
当てはめる	あてはめる
宛てる	あてる
跡継ぎ	あとつぎ
後回し	あとまわし
貴女	あなた
彼の	あの
溢れる	あふれる
油絵	あぶらえ
炙る	あぶる
	あべこべ
甘える	あまえる
甘口	あまくち
雨具	あまぐ
天	あまつ
網	あみ
天地	あめつち
操る	あやつる
	あやふや
危ぶむ	あやぶむ
過ち	あやまち
誤る	あやまる
歩み	あゆみ
歩む	あゆむ
	あら
予め	あらかじめ
荒らす	あらす
粗筋	あらすじ
争い	あらそい
改まる	あらたまる
荒っぽい	あらっぽい
凡ゆる	あらゆる
	あられ
現われ	あらわれ
現われる	あらわれる
有難う	ありがとう
有様	ありさま
有りのまま	ありのまま
或る	ある
或いは	あるいは
彼此	あれこれ
合わす	あわす
合わせ	あわせ
慌ただしい	あわただしい
慌てる	あわてる
暗殺	あんさつ
暗算	あんざん
暗示	あんじ
案じる	あんじる
安静	あんせい
案の定	あんのじょう
余り	あんまり
依	い
良い	いい
伊井	いい
否	いいえ
いい加減	いいかげん
言い訳	いいわけ
家出	いえで
家主	いえぬし
如何	いかが
生かす	いかす
雷	いかずち
如何に	いかに
如何にも	いかにも
怒り	いかり
怒る	いかる
歪む	いがむ
粋	いき
域外	いきがい
意気込む	いきごむ
経緯	いきさつ
行き違い	いきちがい
行き成り	いきなり
異議	いぎ
	いく
軍	いくさ
戦	いくさ
育成	いくせい
幾多	いくた
活ける	いける
異見	いけん
意向	いこう
移行	いこう
	いざ
碑	いしぶみ
衣装	いしょう
意地	いじ
苛める	いじめる
移住	いじゅう
弄る	いじる
何れ	いずれ
異性	いせい
遺跡	いせき
依然	いぜん
依存	いそん
委託	いたく
悪戯	いたずら
頂	いただき
戴きます	いただきます
至って	いたって
痛む	いたむ
痛める	いためる
炒める	いためる
労る	いたわる
市	いち
位地	いち
一々	いちいち
一概に	いちがいに
一見	いちげん
一言	いちげん
一日	いちじつ
一定	いちじょう
著しい	いちじるしい
一同	いちどう
一人	いちにん
一部	いちぶ
一部分	いちぶぶん
一別	いちべつ
一面	いちめん
一目	いちもく
一様	いちよう
一律	いちりつ
一連	いちれん
一括	いっかつ
一気	いっき
一挙に	いっきょに
一切	いっさい
一心	いっしん
	いっそ
一帯	いったい
一敗	いっぱい
一変	いっぺん
何時	いつ
何時か	いつか
何時でも	いつでも
何時の間にか	いつのまにか
何時までも	いつまでも
何時も	いつも
意図	いと
営む	いとなむ
暇	いとま
異動	いどう
挑む	いどむ
稲光	いなびかり
古	いにしえ
祈り	いのり
鼾	いびき
今更	いまさら
未だ	いまだ
移民	いみん
厭々	いやいや
卑しい	いやしい
	いやに
厭やらしい	いやらしい
愈々	いよいよ
意欲	いよく
苛々	いらいら
入口	いりくち
衣料	いりょう
威力	いりょく
入る	いる
衣類	いるい
色々	いろいろ
異論	いろん
所謂	いわゆる
印	いん
員	いん
印鑑	いんかん
陰気	いんき
隠居	いんきょ
上下	うえした
浮かぶ	うかぶ
受かる	うかる
含嗽	うがい
受け入れ	うけいれ
受け入れる	うけいれる
受け継ぐ	うけつぐ
受け付ける	うけつける
受け止める	うけとめる
受け取り	うけとり
受身	うけみ
動き	うごき
潮	うしお
氏	うじ
渦	うず
埋まる	うずまる
嘘つき	うそつき
打ち合わせ	うちあわせ
打ち合わせる	うちあわせる
打ち切る	うちきる
打ち消し	うちけし
打ち込む	うちこむ
団扇	うちわ
内訳	うちわけ
訴え	うったえ
鬱陶しい	うっとうしい
写し	うつし
空ろ	うつろ
器	うつわ
雨天	うてん
